id	name	lat	lon	y	x	country	adm1	adm2	district
6cfce3db-dda8-4a76-a218-a4864506c117	Maszewo	53°29'52''	15°03'34''	633098.09	238746.07	POL	zachodniopomorskie	goleniowski	
28a88eeb-c55b-467e-96ea-8c4fc3ffdc6a	Miasteczko Śląskie	50°29'26''	18°55'20''	291499.41	494484.54	POL	śląskie	tarnogórski	
6a401a9e-0570-43a1-8acf-deff510a741c	Miastko	54°00'01''	16°58'35''	683651.51	367402.41	POL	pomorskie	bytowski	
68abc12f-61d6-4690-9ee4-ff32dec0d584	Michałowo	53°01'60''	23°36'23''	584139.57	808713.52	POL	podlaskie	białostocki	
0066be5f-fd07-4e2f-ab5e-f6beb0852b97	Miechów	50°21'21''	20°01'43''	277026.6	573149.34	POL	małopolskie	miechowski	
ffb235e2-9026-4a9a-96ab-4d0e8cf7e601	Miejska Górka	51°39'20''	16°57'25''	422974.09	358715.71	POL	wielkopolskie	rawicki	
6da386ce-d2b5-48dd-8527-1c627f94fbf2	Mielec	50°17'16''	21°25'15''	271745.15	672398.42	POL	podkarpackie	mielecki	
2c826232-8b8a-4db9-ad3f-80b864d4508c	Mielno	54°15'22''	16°03'08''	714211.04	308040.89	POL	zachodniopomorskie	koszaliński	
121f3167-3461-487a-9a63-a75efe2d7045	Mieroszów	50°39'59''	16°11'12''	314818.11	301252.56	POL	dolnośląskie	wałbrzyski	
db8923cc-6aa0-4b4a-8f57-2ef947699c35	Mieszkowice	52°47'12''	14°29'36''	556318.96	196243.04	POL	zachodniopomorskie	gryfiński	
4ccc0b16-d9d8-4c2e-8bd4-e4c2de7268b7	Międzybórz	51°23'53''	17°39'54''	393213.12	407159.74	POL	dolnośląskie	oleśnicki	
420dfbe6-43c5-4baf-b8de-7f6ba5c41c97	Międzychód	52°36'16''	15°53'58''	531036.13	290116.92	POL	wielkopolskie	międzychodzki	
dd72a1a5-3a5a-4ff7-8f9c-7dc7b9dcdd26	Międzylesie	50°08'52''	16°40'02''	255986.56	333393.43	POL	dolnośląskie	kłodzki	
1aea30c4-7a20-4a83-bff1-cc82d33dddca	Międzyrzec Podlaski	51°59'14''	22°46'51''	464650.04	759497.13	POL	lubelskie	bialski	
bbaf465e-d0c8-4901-a329-34089a8386eb	Międzyrzecz	52°26'44''	15°34'43''	514355.22	267566.26	POL	lubuskie	międzyrzecki	
216d622e-7f6a-45f7-841c-c591f52adade	Międzyzdroje	53°55'44''	14°27'01''	683397.45	201442.69	POL	zachodniopomorskie	kamieński	
